SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Lake Orion Community Schools,All Buildings,Oakland,7,Mathematics,All Students,170,156,147,79,326,226,552,30.8,28.3,26.6,14.3,59.10,40.90,1702.5000000000000000,22.0000000000000000,2023-2024,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Lake Orion Community Schools,All Buildings,Oakland,5,Mathematics,All Students,164,158,152,82,322,234,556,29.5,28.4,27.3,14.7,57.90,42.10,1501.8000000000000000,21.0000000000000000,2023-2024,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Lake Orion Community Schools,All Buildings,Oakland,4,Mathematics,All Students,163,203,154,43,366,197,563,29.0,36.1,27.4,7.6,65.00,35.00,1406.3000000000000000,20.7000000000000000,2023-2024,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Lake Orion Community Schools,All Buildings,Oakland,6,Mathematics,All Students,151,162,163,83,313,246,559,27.0,29.0,29.2,14.8,56.00,44.00,1600.1000000000000000,20.9000000000000000,2023-2024,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Lake Orion Community Schools,All Buildings,Oakland,3,Mathematics,All Students,139,230,123,55,369,178,547,25.4,42.0,22.5,10.1,67.50,32.50,1307.5000000000000000,21.4000000000000000,2023-2024,2014-2015 - Grades 3-8.csv
