SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Laurus Academy,All Buildings,Oakland,7,Mathematics,All Students,8,19,23,28,27,51,78,10.3,24.4,29.5,35.9,34.60,65.40,1686.4000000000000000,22.8000000000000000,2021-2022,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Laurus Academy,All Buildings,Oakland,6,Mathematics,All Students,7,19,33,22,26,55,81,8.6,23.5,40.7,27.2,32.10,67.90,1587.8000000000000000,22.5000000000000000,2021-2022,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Laurus Academy,All Buildings,Oakland,8,Mathematics,All Students,15,12,24,21,27,45,72,20.8,16.7,33.3,29.2,37.50,62.50,1791.7000000000000000,26.6000000000000000,2021-2022,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Laurus Academy,All Buildings,Oakland,5,Mathematics,All Students,13,17,16,32,30,48,78,16.7,21.8,20.5,41.0,38.50,61.50,1484.6000000000000000,29.8000000000000000,2021-2022,2014-2015 - Grades 3-8.csv
