SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,M-STEP,Oakland Schools,Clawson Public Schools,All Buildings,Oakland,5,Mathematics,All Students,16,11,28,34,27,62,89,18.0,12.4,31.5,38.2,30.30,69.70,1486.1000000000000000,25.8000000000000000,2030-2031,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,Clawson Public Schools,All Buildings,Oakland,4,Mathematics,All Students,11,25,31,19,36,50,86,12.8,29.1,36.0,22.1,41.90,58.10,1393.9000000000000000,22.8000000000000000,2030-2031,2022-2023 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Clawson Public Schools,All Buildings,Oakland,3,Mathematics,All Students,14,20,20,32,34,52,86,16.3,23.3,23.3,37.2,39.50,60.50,1293.4000000000000000,24.0000000000000000,2030-2031,2021-2022 - Grades 3-8.csv
