SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,PSAT,Oakland Schools,Bradford Academy,All Buildings,Oakland,8,ELA,All Students,5,10,12,32,15,44,59,<=10%,*,20.3,54.2,25.40,74.60,346.3000000000000000,76.7000000000000000,2027-2028,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,Bradford Academy,All Buildings,Oakland,7,ELA,All Students,<3,*,16,51,7,67,74,<=5%,*,21.6,68.9,9.50,90.50,1668.4000000000000000,22.1000000000000000,2027-2028,2022-2023 - Grades 3-8.csv
2018-2019,M-STEP,Oakland Schools,Bradford Academy,All Buildings,Oakland,3,ELA,All Students,5,16,25,40,21,65,86,5.8,18.6,29.1,46.5,24.40,75.60,1281.9000000000000000,20.7000000000000000,2027-2028,2018-2019 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Bradford Academy,All Buildings,Oakland,6,ELA,All Students,<3,*,20,55,4,75,79,<=5%,*,25.3,69.6,5.10,94.90,1569.4000000000000000,17.4000000000000000,2027-2028,2021-2022 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Bradford Academy,All Buildings,Oakland,5,ELA,All Students,<3,*,4,36,4,40,44,<=10%,<=10%,<=10%,*,<=10%,>=90%,1470.4000000000000000,18.1000000000000000,2027-2028,2020-2021 - Grades 3-8.csv
