SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2022-2023,PSAT,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,8,Mathematics,All Students,<3,*,40,84,12,124,136,<=5%,*,29.4,61.8,8.80,91.20,341.8000000000000000,72.1000000000000000,2026-2027,2022-2023 - Grades 3-8.csv
2018-2019,M-STEP,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,4,Mathematics,All Students,<3,*,53,110,15,163,178,<=5%,*,29.8,61.8,8.40,91.60,1369.6000000000000000,21.4000000000000000,2026-2027,2018-2019 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,7,Mathematics,All Students,3,9,29,102,12,131,143,<=5%,*,20.3,71.3,8.40,91.60,1666.4000000000000000,23.1000000000000000,2026-2027,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,3,Mathematics,All Students,6,28,39,122,34,161,195,<=5%,*,20.0,62.6,17.40,82.60,1272.3000000000000000,25.7000000000000000,2026-2027,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,6,Mathematics,All Students,3,3,22,60,6,82,88,<=5%,<=5%,25.0,68.2,6.80,93.20,1568.6000000000000000,22.2000000000000000,2026-2027,2020-2021 - Grades 3-8.csv
