SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Avondale School District,All Buildings,Oakland,7,ELA,All Students,39,70,67,82,109,149,258,15.1,27.1,26.0,31.8,42.20,57.80,1693.1000000000000000,28.7000000000000000,2023-2024,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Avondale School District,All Buildings,Oakland,5,ELA,All Students,77,77,46,36,154,82,236,32.6,32.6,19.5,15.3,65.30,34.70,1509.4000000000000000,24.3000000000000000,2023-2024,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Avondale School District,All Buildings,Oakland,4,ELA,All Students,86,54,43,52,140,95,235,36.6,23.0,18.3,22.1,59.60,40.40,1404.9000000000000000,26.4000000000000000,2023-2024,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Avondale School District,All Buildings,Oakland,6,ELA,All Students,47,77,63,59,124,122,246,19.1,31.3,25.6,24.0,50.40,49.60,1598.3000000000000000,27.2000000000000000,2023-2024,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Avondale School District,All Buildings,Oakland,3,ELA,All Students,69,67,59,45,136,104,240,28.7,27.9,24.6,18.8,56.70,43.30,1302.9000000000000000,24.4000000000000000,2023-2024,2014-2015 - Grades 3-8.csv
