SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Arts and Technology Academy of Pontiac,All Buildings,Oakland,6,Mathematics,All Students,<3,<3,*,*,<3,*,61,<=5%,<=5%,*,*,<=5%,>=95%,1563.6000000000000000,20.7000000000000000,2024-2025,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Arts and Technology Academy of Pontiac,All Buildings,Oakland,4,Mathematics,All Students,<3,3,16,44,3,60,63,<=5%,<=5%,*,*,<=5%,>=95%,1365.9000000000000000,20.0000000000000000,2024-2025,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Arts and Technology Academy of Pontiac,All Buildings,Oakland,3,Mathematics,All Students,<3,*,15,40,5,55,60,<=10%,<=10%,*,*,<=10%,>=90%,1273.6000000000000000,21.0000000000000000,2024-2025,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Arts and Technology Academy of Pontiac,All Buildings,Oakland,5,Mathematics,All Students,<3,<3,*,*,<3,*,56,<=10%,<=10%,<=10%,>=90%,<=10%,>=90%,1456.4000000000000000,19.2000000000000000,2024-2025,2017-2018 - Grades 3-8.csv
