SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,M-STEP,Oakland Schools,Waterford School District,All Buildings,Oakland,5,Mathematics,All Students,54,71,119,214,125,333,458,11.8,15.5,26.0,46.7,27.30,72.70,1481.3000000000000000,25.7000000000000000,2030-2031,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,Waterford School District,All Buildings,Oakland,4,Mathematics,All Students,71,99,138,140,170,278,448,15.8,22.1,30.8,31.3,37.90,62.10,1390.3000000000000000,26.5000000000000000,2030-2031,2022-2023 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Waterford School District,All Buildings,Oakland,3,Mathematics,All Students,50,104,129,171,154,300,454,11.0,22.9,28.4,37.7,33.90,66.10,1287.6000000000000000,27.1000000000000000,2030-2031,2021-2022 - Grades 3-8.csv
