SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Four Corners Montessori Academy,All Buildings,Oakland,7,Mathematics,All Students,<3,*,10,4,7,14,21,<=20%,*,*,<=20%,33.30,66.70,1692.9000000000000000,22.8000000000000000,2023-2024,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Four Corners Montessori Academy,All Buildings,Oakland,5,Mathematics,All Students,4,4,11,17,8,28,36,11.1,11.1,30.6,47.2,22.20,77.80,1484.3000000000000000,23.9000000000000000,2023-2024,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Four Corners Montessori Academy,All Buildings,Oakland,4,Mathematics,All Students,4,9,19,6,13,25,38,10.5,23.7,50.0,15.8,34.20,65.80,1390.6000000000000000,19.2000000000000000,2023-2024,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Four Corners Montessori Academy,All Buildings,Oakland,6,Mathematics,All Students,7,6,9,5,13,14,27,25.9,22.2,*,<=20%,48.10,51.90,1598.6000000000000000,21.3000000000000000,2023-2024,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Four Corners Montessori Academy,All Buildings,Oakland,3,Mathematics,All Students,7,13,19,6,20,25,45,15.6,28.9,42.2,13.3,44.40,55.60,1300.2000000000000000,21.5000000000000000,2023-2024,2014-2015 - Grades 3-8.csv
