SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Grand River Academy,All Buildings,Wayne,5,Mathematics,All Students,10,8,28,40,18,68,86,11.6,9.3,32.6,46.5,20.90,79.10,1483.0000000000000000,24.4000000000000000,2025-2026,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Grand River Academy,All Buildings,Wayne,3,Mathematics,All Students,19,17,22,22,36,44,80,23.8,21.3,27.5,27.5,45.00,55.00,1299.2000000000000000,27.8000000000000000,2025-2026,2016-2017 - Grades 3-8.csv
2021-2022,PSAT,Oakland Schools,Grand River Academy,All Buildings,Wayne,8,Mathematics,All Students,4,15,28,22,19,50,69,5.8,21.7,40.6,31.9,27.50,72.50,393.0000000000000000,76.9000000000000000,2025-2026,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Grand River Academy,All Buildings,Wayne,4,Mathematics,All Students,9,9,20,44,18,64,82,11.0,11.0,24.4,53.7,22.00,78.00,1383.1000000000000000,25.7000000000000000,2025-2026,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Grand River Academy,All Buildings,Wayne,7,Mathematics,All Students,3,9,8,33,12,41,53,<=10%,*,15.1,62.3,22.60,77.40,1674.2000000000000000,25.6000000000000000,2025-2026,2020-2021 - Grades 3-8.csv
