SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,PSAT,Oakland Schools,Huron Valley Schools,All Buildings,Oakland,8,Mathematics,All Students,79,135,208,97,214,305,519,15.2,26.0,40.1,18.7,41.20,58.80,422.3000000000000000,76.8000000000000000,2027-2028,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,Huron Valley Schools,All Buildings,Oakland,7,Mathematics,All Students,79,131,141,165,210,306,516,15.3,25.4,27.3,32.0,40.70,59.30,1690.2000000000000000,24.0000000000000000,2027-2028,2022-2023 - Grades 3-8.csv
2018-2019,M-STEP,Oakland Schools,Huron Valley Schools,All Buildings,Oakland,3,Mathematics,All Students,121,156,140,108,277,248,525,23.0,29.7,26.7,20.6,52.80,47.20,1301.5000000000000000,25.3000000000000000,2027-2028,2018-2019 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Huron Valley Schools,All Buildings,Oakland,6,Mathematics,All Students,89,120,141,138,209,279,488,18.2,24.6,28.9,28.3,42.80,57.20,1591.9000000000000000,24.0000000000000000,2027-2028,2021-2022 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Huron Valley Schools,All Buildings,Oakland,5,Mathematics,All Students,61,71,110,148,132,258,390,15.6,18.2,28.2,37.9,33.80,66.20,1486.3000000000000000,25.0000000000000000,2027-2028,2020-2021 - Grades 3-8.csv
