SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Frederick Douglass International Academy,All Buildings,Oakland,5,Mathematics,All Students,<3,<3,<3,*,<3,*,11,<=50%,<=50%,<=50%,>=50%,<=50%,>=50%,1463.5000000000000000,14.7000000000000000,2023-2024,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Frederick Douglass International Academy,All Buildings,Oakland,4,Mathematics,All Students,<3,<3,<3,*,<3,*,10,<=50%,<=50%,<=50%,>=50%,<=50%,>=50%,1368.1000000000000000,20.4000000000000000,2023-2024,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Frederick Douglass International Academy,All Buildings,Oakland,6,Mathematics,All Students,<3,<3,<3,*,<3,*,21,<=20%,<=20%,<=20%,>=80%,<=20%,>=80%,1560.4000000000000000,17.5000000000000000,2023-2024,2017-2018 - Grades 3-8.csv
