SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Lighthouse Connections Academy,All Buildings,Oakland,6,Mathematics,All Students,<3,3,7,11,3,18,21,<=20%,<=20%,*,*,<=20%,>=80%,1571.7000000000000000,26.0000000000000000,2024-2025,2018-2019 - Grades 3-8.csv
2020-2021,PSAT,Oakland Schools,Lighthouse Connections Academy,All Buildings,Oakland,8,Mathematics,All Students,<3,*,10,4,10,14,24,<=20%,*,*,<=20%,41.70,58.30,416.7000000000000000,72.4000000000000000,2024-2025,2020-2021 - Grades 3-8.csv
