SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,PSAT,Oakland Schools,Novi Community School District,All Buildings,Oakland,8,ELA,All Students,351,100,39,24,451,63,514,68.3,19.5,7.6,4.7,87.70,12.30,484.1000000000000000,83.6000000000000000,2022-2023,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Novi Community School District,All Buildings,Oakland,6,ELA,All Students,178,192,84,59,370,143,513,34.7,37.4,16.4,11.5,72.10,27.90,1611.6000000000000000,24.4000000000000000,2022-2023,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Novi Community School District,All Buildings,Oakland,5,ELA,All Students,194,185,69,52,379,121,500,38.8,37.0,13.8,10.4,75.80,24.20,1514.3000000000000000,23.8000000000000000,2022-2023,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Novi Community School District,All Buildings,Oakland,7,ELA,All Students,147,218,112,42,365,154,519,28.3,42.0,21.6,8.1,70.30,29.70,1711.6000000000000000,23.3000000000000000,2022-2023,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Novi Community School District,All Buildings,Oakland,4,ELA,All Students,212,136,69,50,348,119,467,45.4,29.1,14.8,10.7,74.50,25.50,1412.7000000000000000,22.7000000000000000,2022-2023,2014-2015 - Grades 3-8.csv
