SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,M-STEP,Oakland Schools,Southfield Public School District,All Buildings,Oakland,6,Mathematics,All Students,11,37,83,214,48,297,345,3.2,10.7,24.1,62.0,13.90,86.10,1571.6000000000000000,24.1000000000000000,2029-2030,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,Southfield Public School District,All Buildings,Oakland,5,Mathematics,All Students,26,30,89,188,56,277,333,7.8,9.0,26.7,56.5,16.80,83.20,1475.5000000000000000,24.0000000000000000,2029-2030,2022-2023 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Southfield Public School District,All Buildings,Oakland,4,Mathematics,All Students,13,40,110,152,53,262,315,4.1,12.7,34.9,48.3,16.80,83.20,1377.1000000000000000,23.5000000000000000,2029-2030,2021-2022 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Southfield Public School District,All Buildings,Oakland,3,Mathematics,All Students,6,23,39,60,29,99,128,<=5%,*,30.5,46.9,22.70,77.30,1281.1000000000000000,24.0000000000000000,2029-2030,2020-2021 - Grades 3-8.csv
