SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2022-2023,PSAT,Oakland Schools,Crescent Academy,All Buildings,Oakland,8,Mathematics,All Students,<3,3,23,38,3,61,64,<=5%,<=5%,*,*,<=5%,>=95%,350.5000000000000000,51.4000000000000000,2026-2027,2022-2023 - Grades 3-8.csv
2018-2019,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,4,Mathematics,All Students,<3,*,51,53,14,104,118,<=5%,*,43.2,44.9,11.90,88.10,1377.9000000000000000,17.9000000000000000,2026-2027,2018-2019 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,7,Mathematics,All Students,<3,<3,*,*,<3,*,77,<=5%,<=5%,*,*,<=5%,>=95%,1666.5000000000000000,17.7000000000000000,2026-2027,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,3,Mathematics,All Students,<3,*,38,72,16,110,126,<=5%,*,30.2,57.1,12.70,87.30,1277.3000000000000000,19.0000000000000000,2026-2027,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,6,Mathematics,All Students,*,*,*,*,*,*,<10,*,*,*,*,*,*,*,*,2026-2027,2020-2021 - Grades 3-8.csv
