SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Taylor International Academy,All Buildings,Oakland,8,ELA,All Students,<3,<3,*,*,<3,*,14,<=50%,<=50%,<=50%,<=50%,<=50%,>=50%,1781.2000000000000000,18.8000000000000000,2020-2021,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Taylor International Academy,All Buildings,Oakland,7,ELA,All Students,<3,<3,*,*,<3,*,20,<=20%,<=20%,*,*,<=20%,>=80%,1677.6000000000000000,18.2000000000000000,2020-2021,2015-2016 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Taylor International Academy,All Buildings,Oakland,6,ELA,All Students,<3,<3,*,*,<3,*,26,<=20%,<=20%,<=20%,*,<=20%,>=80%,1570.4000000000000000,19.0000000000000000,2020-2021,2014-2015 - Grades 3-8.csv
