SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,PSAT,Oakland Schools,"Oak Park, School District of the City of",All Buildings,Oakland,8,Mathematics,All Students,<3,*,55,170,5,225,230,<=5%,<=5%,*,*,<=5%,>=95%,333.0000000000000000,61.5000000000000000,2027-2028,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,"Oak Park, School District of the City of",All Buildings,Oakland,7,Mathematics,All Students,<3,*,33,197,6,230,236,<=5%,<=5%,*,*,<=5%,>=95%,1661.9000000000000000,17.7000000000000000,2027-2028,2022-2023 - Grades 3-8.csv
2018-2019,M-STEP,Oakland Schools,"Oak Park, School District of the City of",All Buildings,Oakland,3,Mathematics,All Students,14,46,79,133,60,212,272,5.1,16.9,29.0,48.9,22.10,77.90,1281.0000000000000000,25.0000000000000000,2027-2028,2018-2019 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,"Oak Park, School District of the City of",All Buildings,Oakland,6,Mathematics,All Students,<3,*,26,194,5,220,225,<=5%,<=5%,*,*,<=5%,>=95%,1557.1000000000000000,18.9000000000000000,2027-2028,2021-2022 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,"Oak Park, School District of the City of",All Buildings,Oakland,5,Mathematics,All Students,<3,<3,*,*,<3,*,64,<=5%,<=5%,<=5%,*,<=5%,>=95%,1456.4000000000000000,16.8000000000000000,2027-2028,2020-2021 - Grades 3-8.csv
