SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,PSAT,Oakland Schools,Southfield Public School District,All Buildings,Oakland,8,Mathematics,All Students,24,87,147,175,111,322,433,5.5,20.1,33.9,40.4,25.60,74.40,382.1000000000000000,74.0000000000000000,2022-2023,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Southfield Public School District,All Buildings,Oakland,6,Mathematics,All Students,16,36,140,259,52,399,451,3.5,8.0,31.0,57.4,11.50,88.50,1574.4000000000000000,21.2000000000000000,2022-2023,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Southfield Public School District,All Buildings,Oakland,5,Mathematics,All Students,12,34,133,273,46,406,452,2.7,7.5,29.4,60.4,10.20,89.80,1472.1000000000000000,20.8000000000000000,2022-2023,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Southfield Public School District,All Buildings,Oakland,7,Mathematics,All Students,17,52,109,274,69,383,452,3.8,11.5,24.1,60.6,15.30,84.70,1673.6000000000000000,23.9000000000000000,2022-2023,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Southfield Public School District,All Buildings,Oakland,4,Mathematics,All Students,11,67,168,200,78,368,446,2.5,15.0,37.7,44.8,17.50,82.50,1379.5000000000000000,20.6000000000000000,2022-2023,2014-2015 - Grades 3-8.csv
