SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2022-2023,PSAT,Oakland Schools,Avondale School District,All Buildings,Oakland,8,ELA,All Students,90,49,40,50,139,90,229,39.3,21.4,17.5,21.8,60.70,39.30,427.3000000000000000,91.3000000000000000,2026-2027,2022-2023 - Grades 3-8.csv
2018-2019,M-STEP,Oakland Schools,Avondale School District,All Buildings,Oakland,4,ELA,All Students,90,50,52,52,140,104,244,36.9,20.5,21.3,21.3,57.40,42.60,1405.6000000000000000,26.4000000000000000,2026-2027,2018-2019 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Avondale School District,All Buildings,Oakland,7,ELA,All Students,38,61,54,87,99,141,240,15.8,25.4,22.5,36.3,41.30,58.80,1692.8000000000000000,29.8000000000000000,2026-2027,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Avondale School District,All Buildings,Oakland,3,ELA,All Students,77,61,55,53,138,108,246,31.3,24.8,22.4,21.5,56.10,43.90,1301.6000000000000000,26.4000000000000000,2026-2027,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Avondale School District,All Buildings,Oakland,6,ELA,All Students,17,17,30,46,34,76,110,15.5,15.5,27.3,41.8,30.90,69.10,1587.5000000000000000,30.7000000000000000,2026-2027,2020-2021 - Grades 3-8.csv
