SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,6,ELA,All Students,4,19,53,97,23,150,173,<=5%,*,30.6,56.1,13.30,86.70,1575.9000000000000000,21.3000000000000000,2024-2025,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,4,ELA,All Students,11,20,40,105,31,145,176,6.3,11.4,22.7,59.7,17.60,82.40,1379.1000000000000000,22.1000000000000000,2024-2025,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,3,ELA,All Students,9,20,46,91,29,137,166,5.4,12.0,27.7,54.8,17.50,82.50,1278.6000000000000000,22.2000000000000000,2024-2025,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,5,ELA,All Students,8,23,34,110,31,144,175,<=5%,*,19.4,62.9,17.70,82.30,1476.3000000000000000,23.1000000000000000,2024-2025,2017-2018 - Grades 3-8.csv
2020-2021,PSAT,Oakland Schools,"Hazel Park, School District of the City of",All Buildings,Oakland,8,ELA,All Students,16,16,17,27,32,44,76,21.1,21.1,22.4,35.5,42.10,57.90,387.5000000000000000,62.2000000000000000,2024-2025,2020-2021 - Grades 3-8.csv
