SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Oakland County Academy of Media & Technology,All Buildings,Oakland,7,ELA,All Students,<3,<3,*,*,<3,*,22,<=20%,<=20%,<=20%,>=80%,<=20%,>=80%,1661.6000000000000000,18.6000000000000000,2023-2024,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Oakland County Academy of Media & Technology,All Buildings,Oakland,5,ELA,All Students,<3,<3,<3,*,<3,*,15,<=50%,<=50%,<=50%,>=50%,<=50%,>=50%,1454.2000000000000000,24.2000000000000000,2023-2024,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Oakland County Academy of Media & Technology,All Buildings,Oakland,4,ELA,All Students,<3,<3,4,9,3,13,16,<=20%,<=20%,*,*,<=20%,>=80%,1382.4000000000000000,25.4000000000000000,2023-2024,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Oakland County Academy of Media & Technology,All Buildings,Oakland,6,ELA,All Students,<3,<3,<3,*,<3,*,14,<=50%,<=50%,<=50%,>=50%,<=50%,>=50%,1555.1000000000000000,7.4000000000000000,2023-2024,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Oakland County Academy of Media & Technology,All Buildings,Oakland,3,ELA,All Students,<3,<3,*,*,<3,*,15,<=50%,<=50%,<=50%,>=50%,<=50%,>=50%,1266.9000000000000000,25.0000000000000000,2023-2024,2014-2015 - Grades 3-8.csv
