SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Jefferson International Academy,All Buildings,Oakland,3,ELA,All Students,3,6,9,22,9,31,40,<=10%,*,22.5,55.0,22.50,77.50,1278.8000000000000000,25.3000000000000000,2025-2026,2016-2017 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Jefferson International Academy,All Buildings,Oakland,4,ELA,All Students,6,11,5,17,17,22,39,15.4,28.2,12.8,43.6,43.60,56.40,1389.9000000000000000,27.0000000000000000,2025-2026,2017-2018 - Grades 3-8.csv
