SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Jefferson International Academy,All Buildings,Oakland,5,ELA,All Students,<3,*,4,10,8,14,22,<=20%,*,<=20%,*,36.40,63.60,1487.1000000000000000,26.1000000000000000,2023-2024,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Jefferson International Academy,All Buildings,Oakland,4,ELA,All Students,<3,*,5,11,6,16,22,<=20%,<=20%,22.7,50.0,27.30,72.70,1384.3000000000000000,24.8000000000000000,2023-2024,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Jefferson International Academy,All Buildings,Oakland,6,ELA,All Students,<3,*,7,27,5,34,39,<=10%,*,17.9,69.2,12.80,87.20,1569.2000000000000000,21.7000000000000000,2023-2024,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Jefferson International Academy,All Buildings,Oakland,3,ELA,All Students,4,6,16,10,10,26,36,11.1,16.7,44.4,27.8,27.80,72.20,1291.9000000000000000,20.9000000000000000,2023-2024,2014-2015 - Grades 3-8.csv
