SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Oxford Community Schools,All Buildings,Oakland,5,ELA,All Students,65,114,82,87,179,169,348,18.7,32.8,23.6,25.0,51.40,48.60,1499.4000000000000000,25.3000000000000000,2025-2026,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Oxford Community Schools,All Buildings,Oakland,3,ELA,All Students,76,71,94,53,147,147,294,25.9,24.1,32.0,18.0,50.00,50.00,1299.6000000000000000,22.4000000000000000,2025-2026,2016-2017 - Grades 3-8.csv
2021-2022,PSAT,Oakland Schools,Oxford Community Schools,All Buildings,Oakland,8,ELA,All Students,195,90,50,42,285,92,377,51.7,23.9,13.3,11.1,75.60,24.40,445.0000000000000000,79.5000000000000000,2025-2026,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Oxford Community Schools,All Buildings,Oakland,4,ELA,All Students,81,86,88,67,167,155,322,25.2,26.7,27.3,20.8,51.90,48.10,1399.9000000000000000,22.6000000000000000,2025-2026,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Oxford Community Schools,All Buildings,Oakland,7,ELA,All Students,34,114,86,56,148,142,290,11.7,39.3,29.7,19.3,51.00,49.00,1699.6000000000000000,23.5000000000000000,2025-2026,2020-2021 - Grades 3-8.csv
