SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,PSAT,Oakland Schools,Waterford Montessori Academy,All Buildings,Oakland,8,Mathematics,All Students,<3,*,11,6,10,17,27,<=20%,*,40.7,22.2,37.00,63.00,408.5000000000000000,60.4000000000000000,2027-2028,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,Waterford Montessori Academy,All Buildings,Oakland,7,Mathematics,All Students,7,5,10,10,12,20,32,21.9,15.6,31.3,31.3,37.50,62.50,1690.7000000000000000,24.6000000000000000,2027-2028,2022-2023 - Grades 3-8.csv
2018-2019,M-STEP,Oakland Schools,Waterford Montessori Academy,All Buildings,Oakland,3,Mathematics,All Students,<3,*,13,18,11,31,42,<=10%,*,31.0,42.9,26.20,73.80,1285.2000000000000000,22.2000000000000000,2027-2028,2018-2019 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Waterford Montessori Academy,All Buildings,Oakland,6,Mathematics,All Students,5,6,14,14,11,28,39,12.8,15.4,35.9,35.9,28.20,71.80,1587.0000000000000000,20.4000000000000000,2027-2028,2021-2022 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Waterford Montessori Academy,All Buildings,Oakland,5,Mathematics,All Students,5,3,13,20,8,33,41,*,<=10%,31.7,48.8,19.50,80.50,1480.3000000000000000,25.0000000000000000,2027-2028,2020-2021 - Grades 3-8.csv
