SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,M-STEP,Oakland Schools,Holly Academy,All Buildings,Oakland,6,Mathematics,All Students,14,15,16,7,29,23,52,26.9,28.8,30.8,13.5,55.80,44.20,1600.5000000000000000,19.9000000000000000,2029-2030,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,Holly Academy,All Buildings,Oakland,5,Mathematics,All Students,24,18,16,5,42,21,63,38.1,28.6,25.4,7.9,66.70,33.30,1506.7000000000000000,19.8000000000000000,2029-2030,2022-2023 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Holly Academy,All Buildings,Oakland,4,Mathematics,All Students,20,21,17,4,41,21,62,32.3,33.9,27.4,6.5,66.10,33.90,1409.4000000000000000,22.0000000000000000,2029-2030,2021-2022 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Holly Academy,All Buildings,Oakland,3,Mathematics,All Students,16,22,13,13,38,26,64,25.0,34.4,20.3,20.3,59.40,40.60,1304.2000000000000000,24.8000000000000000,2029-2030,2020-2021 - Grades 3-8.csv
