SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,5,Mathematics,All Students,99,82,117,72,181,189,370,26.8,22.2,31.6,19.5,48.90,51.10,1498.3000000000000000,23.9000000000000000,2025-2026,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,3,Mathematics,All Students,87,130,109,67,217,176,393,22.1,33.1,27.7,17.0,55.20,44.80,1302.3000000000000000,23.5000000000000000,2025-2026,2016-2017 - Grades 3-8.csv
2021-2022,PSAT,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,8,Mathematics,All Students,45,120,107,86,165,193,358,12.6,33.5,29.9,24.0,46.10,53.90,417.4000000000000000,85.4000000000000000,2025-2026,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,4,Mathematics,All Students,91,130,122,39,221,161,382,23.8,34.0,31.9,10.2,57.90,42.10,1403.5000000000000000,22.0000000000000000,2025-2026,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,7,Mathematics,All Students,28,65,92,70,93,162,255,11.0,25.5,36.1,27.5,36.50,63.50,1691.1000000000000000,22.2000000000000000,2025-2026,2020-2021 - Grades 3-8.csv
