SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2022-2023,PSAT,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,8,Mathematics,All Students,51,104,107,93,155,200,355,14.4,29.3,30.1,26.2,43.70,56.30,419.3000000000000000,87.3000000000000000,2026-2027,2022-2023 - Grades 3-8.csv
2018-2019,M-STEP,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,4,Mathematics,All Students,94,114,120,48,208,168,376,25.0,30.3,31.9,12.8,55.30,44.70,1402.6000000000000000,23.5000000000000000,2026-2027,2018-2019 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,7,Mathematics,All Students,45,82,102,124,127,226,353,12.7,23.2,28.9,35.1,36.00,64.00,1688.1000000000000000,24.9000000000000000,2026-2027,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,3,Mathematics,All Students,87,123,118,65,210,183,393,22.1,31.3,30.0,16.5,53.40,46.60,1301.5000000000000000,24.1000000000000000,2026-2027,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Royal Oak Schools,All Buildings,Oakland,6,Mathematics,All Students,28,53,89,87,81,176,257,10.9,20.6,34.6,33.9,31.50,68.50,1587.2000000000000000,22.8000000000000000,2026-2027,2020-2021 - Grades 3-8.csv
