SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Michigan Virtual Charter Academy,All Buildings,Oakland,5,ELA,All Students,24,28,31,99,52,130,182,13.2,15.4,17.0,54.4,28.60,71.40,1484.3000000000000000,29.4000000000000000,2025-2026,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Michigan Virtual Charter Academy,All Buildings,Oakland,3,ELA,All Students,19,27,21,57,46,78,124,15.3,21.8,16.9,46.0,37.10,62.90,1286.5000000000000000,28.0000000000000000,2025-2026,2016-2017 - Grades 3-8.csv
2021-2022,PSAT,Oakland Schools,Michigan Virtual Charter Academy,All Buildings,Oakland,8,ELA,All Students,68,42,33,72,110,105,215,31.6,19.5,15.3,33.5,51.20,48.80,402.3000000000000000,88.8000000000000000,2025-2026,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Michigan Virtual Charter Academy,All Buildings,Oakland,4,ELA,All Students,33,23,15,83,56,98,154,21.4,14.9,9.7,53.9,36.40,63.60,1387.1000000000000000,29.9000000000000000,2025-2026,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Michigan Virtual Charter Academy,All Buildings,Oakland,7,ELA,All Students,3,7,12,7,10,19,29,<=20%,*,41.4,24.1,34.50,65.50,1692.8000000000000000,22.4000000000000000,2025-2026,2020-2021 - Grades 3-8.csv
