SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2015-2016,M-STEP,Oakland Schools,Rochester Community School District,All Buildings,Oakland,8,Mathematics,All Students,505,277,240,156,782,396,1178,42.9,23.5,20.4,13.2,66.40,33.60,1808.6000000000000000,26.0000000000000000,2019-2020,2015-2016 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Rochester Community School District,All Buildings,Oakland,7,Mathematics,All Students,441,329,239,131,770,370,1140,38.7,28.9,21.0,11.5,67.50,32.50,1708.6000000000000000,24.4000000000000000,2019-2020,2014-2015 - Grades 3-8.csv
