SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,AGBU Alex-Marie Manoogian School,All Buildings,Oakland,7,ELA,All Students,10,8,7,7,18,14,32,31.3,25.0,21.9,21.9,56.30,43.80,1703.2000000000000000,29.7000000000000000,2023-2024,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,AGBU Alex-Marie Manoogian School,All Buildings,Oakland,5,ELA,All Students,*,*,<3,<3,*,<3,27,*,*,<=20%,<=20%,>=80%,<=20%,1527.0000000000000000,23.8000000000000000,2023-2024,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,AGBU Alex-Marie Manoogian School,All Buildings,Oakland,4,ELA,All Students,*,*,<3,<3,*,<3,28,*,*,<=20%,<=20%,>=80%,<=20%,1426.4000000000000000,16.5000000000000000,2023-2024,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,AGBU Alex-Marie Manoogian School,All Buildings,Oakland,6,ELA,All Students,11,8,4,8,19,12,31,35.5,25.8,12.9,25.8,61.30,38.70,1602.1000000000000000,30.3000000000000000,2023-2024,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,AGBU Alex-Marie Manoogian School,All Buildings,Oakland,3,ELA,All Students,19,6,3,<3,25,4,29,*,*,<=20%,<=20%,>=80%,<=20%,1325.8000000000000000,23.1000000000000000,2023-2024,2014-2015 - Grades 3-8.csv
