SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Arts and Technology Academy of Pontiac,All Buildings,Oakland,8,ELA,All Students,<3,*,8,32,8,40,48,<=10%,*,16.7,66.7,16.70,83.30,1772.7000000000000000,23.8000000000000000,2020-2021,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Arts and Technology Academy of Pontiac,All Buildings,Oakland,7,ELA,All Students,<3,*,15,27,8,42,50,<=10%,*,30.0,54.0,16.00,84.00,1673.1000000000000000,25.7000000000000000,2020-2021,2015-2016 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Arts and Technology Academy of Pontiac,All Buildings,Oakland,6,ELA,All Students,3,7,14,21,10,35,45,<=10%,*,31.1,46.7,22.20,77.80,1585.9000000000000000,20.4000000000000000,2020-2021,2014-2015 - Grades 3-8.csv
