SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Clarkston Community School District,All Buildings,Oakland,8,ELA,All Students,73,203,167,148,276,315,591,12.4,34.3,28.3,25.0,46.70,53.30,1796.2000000000000000,26.7000000000000000,2020-2021,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Clarkston Community School District,All Buildings,Oakland,7,ELA,All Students,126,232,136,83,358,219,577,21.8,40.2,23.6,14.4,62.00,38.00,1705.2000000000000000,24.9000000000000000,2020-2021,2015-2016 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Clarkston Community School District,All Buildings,Oakland,6,ELA,All Students,91,218,151,104,309,255,564,16.1,38.7,26.8,18.4,54.80,45.20,1601.1000000000000000,22.9000000000000000,2020-2021,2014-2015 - Grades 3-8.csv
