SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Birmingham Public Schools,All Buildings,Oakland,6,Mathematics,All Students,252,174,139,64,426,203,629,40.1,27.7,22.1,10.2,67.70,32.30,1606.9000000000000000,21.1000000000000000,2024-2025,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Birmingham Public Schools,All Buildings,Oakland,4,Mathematics,All Students,211,221,168,27,432,195,627,33.7,35.2,26.8,4.3,68.90,31.10,1409.6000000000000000,20.6000000000000000,2024-2025,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Birmingham Public Schools,All Buildings,Oakland,3,Mathematics,All Students,198,236,138,50,434,188,622,31.8,37.9,22.2,8.0,69.80,30.20,1310.3000000000000000,20.9000000000000000,2024-2025,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Birmingham Public Schools,All Buildings,Oakland,5,Mathematics,All Students,234,169,164,53,403,217,620,37.7,27.3,26.5,8.5,65.00,35.00,1506.2000000000000000,20.7000000000000000,2024-2025,2017-2018 - Grades 3-8.csv
2020-2021,PSAT,Oakland Schools,Birmingham Public Schools,All Buildings,Oakland,8,Mathematics,All Students,135,145,138,88,280,226,506,26.7,28.7,27.3,17.4,55.30,44.70,451.2000000000000000,92.8000000000000000,2024-2025,2020-2021 - Grades 3-8.csv
