SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,M-STEP,Oakland Schools,Novi Community School District,All Buildings,Oakland,6,ELA,All Students,140,188,96,86,328,182,510,27.5,36.9,18.8,16.9,64.30,35.70,1605.7000000000000000,26.4000000000000000,2029-2030,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,Novi Community School District,All Buildings,Oakland,5,ELA,All Students,188,159,66,74,347,140,487,38.6,32.6,13.6,15.2,71.30,28.70,1511.7000000000000000,27.1000000000000000,2029-2030,2022-2023 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Novi Community School District,All Buildings,Oakland,4,ELA,All Students,232,118,69,48,350,117,467,49.7,25.3,14.8,10.3,74.90,25.10,1413.8000000000000000,23.3000000000000000,2029-2030,2021-2022 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Novi Community School District,All Buildings,Oakland,3,ELA,All Students,142,66,52,37,208,89,297,47.8,22.2,17.5,12.5,70.00,30.00,1311.0000000000000000,25.2000000000000000,2029-2030,2020-2021 - Grades 3-8.csv
