SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2022-2023,PSAT,Oakland Schools,Oakland Schools  - District created from ISD,All Buildings,Oakland,8,Mathematics,All Students,<3,*,12,7,8,19,27,<=20%,*,44.4,25.9,29.60,70.40,397.8000000000000000,55.3000000000000000,2026-2027,2022-2023 - Grades 3-8.csv
2018-2019,M-STEP,Oakland Schools,Oakland Schools  - District created from ISD,All Buildings,Oakland,4,Mathematics,All Students,<3,*,7,5,12,12,24,<=20%,*,29.2,20.8,50.00,50.00,1394.0000000000000000,22.5000000000000000,2026-2027,2018-2019 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Oakland Schools  - District created from ISD,All Buildings,Oakland,7,Mathematics,All Students,<3,*,11,13,10,24,34,<=10%,*,32.4,38.2,29.40,70.60,1682.9000000000000000,24.3000000000000000,2026-2027,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Oakland Schools  - District created from ISD,All Buildings,Oakland,3,Mathematics,All Students,3,8,*,<3,11,7,18,<=20%,*,*,<=20%,61.10,38.90,1303.2000000000000000,21.0000000000000000,2026-2027,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Oakland Schools  - District created from ISD,All Buildings,Oakland,6,Mathematics,All Students,3,3,*,<3,6,5,11,<=50%,<=50%,<=50%,<=50%,>=50%,<=50%,1602.6000000000000000,12.9000000000000000,2026-2027,2020-2021 - Grades 3-8.csv
