SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Walton Charter Academy,All Buildings,Oakland,7,ELA,All Students,<3,*,26,23,30,49,79,<=5%,*,32.9,29.1,38.00,62.00,1689.5000000000000000,23.5000000000000000,2021-2022,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Walton Charter Academy,All Buildings,Oakland,6,ELA,All Students,6,16,27,30,22,57,79,7.6,20.3,34.2,38.0,27.80,72.20,1587.3000000000000000,22.7000000000000000,2021-2022,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Walton Charter Academy,All Buildings,Oakland,8,ELA,All Students,9,19,26,30,28,56,84,10.7,22.6,31.0,35.7,33.30,66.70,1790.0000000000000000,25.9000000000000000,2021-2022,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Walton Charter Academy,All Buildings,Oakland,5,ELA,All Students,6,20,30,24,26,54,80,7.5,25.0,37.5,30.0,32.50,67.50,1492.7000000000000000,20.9000000000000000,2021-2022,2014-2015 - Grades 3-8.csv
