SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Brandon School District in the Counties of Oakland and Lapeer,All Buildings,Oakland,6,Mathematics,All Students,21,48,66,38,69,104,173,12.1,27.7,38.2,22.0,39.90,60.10,1591.9000000000000000,22.1000000000000000,2024-2025,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Brandon School District in the Counties of Oakland and Lapeer,All Buildings,Oakland,4,Mathematics,All Students,17,61,69,27,78,96,174,9.8,35.1,39.7,15.5,44.80,55.20,1395.3000000000000000,21.3000000000000000,2024-2025,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Brandon School District in the Counties of Oakland and Lapeer,All Buildings,Oakland,3,Mathematics,All Students,31,67,50,37,98,87,185,16.8,36.2,27.0,20.0,53.00,47.00,1297.4000000000000000,25.2000000000000000,2024-2025,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Brandon School District in the Counties of Oakland and Lapeer,All Buildings,Oakland,5,Mathematics,All Students,27,42,56,47,69,103,172,15.7,24.4,32.6,27.3,40.10,59.90,1490.2000000000000000,22.8000000000000000,2024-2025,2017-2018 - Grades 3-8.csv
2020-2021,PSAT,Oakland Schools,Brandon School District in the Counties of Oakland and Lapeer,All Buildings,Oakland,8,Mathematics,All Students,28,32,47,43,60,90,150,18.7,21.3,31.3,28.7,40.00,60.00,420.9000000000000000,80.9000000000000000,2024-2025,2020-2021 - Grades 3-8.csv
