SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,5,Mathematics,All Students,<3,*,25,74,9,99,108,<=5%,*,23.1,68.5,8.30,91.70,1468.8000000000000000,19.4000000000000000,2025-2026,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,3,Mathematics,All Students,3,20,36,65,23,101,124,<=5%,*,29.0,52.4,18.50,81.50,1282.6000000000000000,18.4000000000000000,2025-2026,2016-2017 - Grades 3-8.csv
2021-2022,PSAT,Oakland Schools,Crescent Academy,All Buildings,Oakland,8,Mathematics,All Students,<3,*,20,36,7,56,63,<=5%,*,31.7,57.1,11.10,88.90,348.3000000000000000,58.2000000000000000,2025-2026,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,4,Mathematics,All Students,4,10,52,55,14,107,121,<=5%,*,43.0,45.5,11.60,88.40,1379.1000000000000000,18.1000000000000000,2025-2026,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,7,Mathematics,All Students,*,*,*,*,*,*,<10,*,*,*,*,*,*,*,*,2025-2026,2020-2021 - Grades 3-8.csv
