SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Waterford School District,All Buildings,Oakland,7,ELA,All Students,64,156,196,275,220,471,691,9.3,22.6,28.4,39.8,31.80,68.20,1687.3000000000000000,25.8000000000000000,2021-2022,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Waterford School District,All Buildings,Oakland,6,ELA,All Students,60,146,224,265,206,489,695,8.6,21.0,32.2,38.1,29.60,70.40,1587.4000000000000000,23.7000000000000000,2021-2022,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Waterford School District,All Buildings,Oakland,8,ELA,All Students,56,191,232,217,247,449,696,8.0,27.4,33.3,31.2,35.50,64.50,1789.8000000000000000,24.7000000000000000,2021-2022,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Waterford School District,All Buildings,Oakland,5,ELA,All Students,110,217,201,215,327,416,743,14.8,29.2,27.1,28.9,44.00,56.00,1496.5000000000000000,23.2000000000000000,2021-2022,2014-2015 - Grades 3-8.csv
