SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2016-2017,M-STEP,Oakland Schools,Brandon School District in the Counties of Oakland and Lapeer,All Buildings,Oakland,7,Mathematics,All Students,25,45,68,62,70,130,200,12.5,22.5,34.0,31.0,35.00,65.00,1687.8000000000000000,23.4000000000000000,2021-2022,2016-2017 - Grades 3-8.csv
2015-2016,M-STEP,Oakland Schools,Brandon School District in the Counties of Oakland and Lapeer,All Buildings,Oakland,6,Mathematics,All Students,23,48,77,52,71,129,200,11.5,24.0,38.5,26.0,35.50,64.50,1589.6000000000000000,22.3000000000000000,2021-2022,2015-2016 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Brandon School District in the Counties of Oakland and Lapeer,All Buildings,Oakland,8,Mathematics,All Students,36,42,40,68,78,108,186,19.4,22.6,21.5,36.6,41.90,58.10,1790.5000000000000000,25.0000000000000000,2021-2022,2017-2018 - Grades 3-8.csv
2014-2015,M-STEP,Oakland Schools,Brandon School District in the Counties of Oakland and Lapeer,All Buildings,Oakland,5,Mathematics,All Students,27,38,71,58,65,129,194,13.9,19.6,36.6,29.9,33.50,66.50,1489.3000000000000000,22.1000000000000000,2021-2022,2014-2015 - Grades 3-8.csv
