SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2018-2019,M-STEP,Oakland Schools,Walton Charter Academy,All Buildings,Oakland,5,Mathematics,All Students,<3,*,27,49,13,76,89,<=5%,*,30.3,55.1,14.60,85.40,1474.3000000000000000,23.4000000000000000,2025-2026,2018-2019 - Grades 3-8.csv
2016-2017,M-STEP,Oakland Schools,Walton Charter Academy,All Buildings,Oakland,3,Mathematics,All Students,4,23,30,32,27,62,89,<=5%,*,33.7,36.0,30.30,69.70,1287.4000000000000000,19.1000000000000000,2025-2026,2016-2017 - Grades 3-8.csv
2021-2022,PSAT,Oakland Schools,Walton Charter Academy,All Buildings,Oakland,8,Mathematics,All Students,5,25,46,13,30,59,89,5.6,28.1,51.7,14.6,33.70,66.30,401.8000000000000000,61.8000000000000000,2025-2026,2021-2022 - Grades 3-8.csv
2017-2018,M-STEP,Oakland Schools,Walton Charter Academy,All Buildings,Oakland,4,Mathematics,All Students,3,16,40,32,19,72,91,<=5%,*,44.0,35.2,20.90,79.10,1383.1000000000000000,20.3000000000000000,2025-2026,2017-2018 - Grades 3-8.csv
2020-2021,M-STEP,Oakland Schools,Walton Charter Academy,All Buildings,Oakland,7,Mathematics,All Students,<3,*,23,40,7,63,70,<=5%,*,32.9,57.1,10.00,90.00,1674.4000000000000000,20.0000000000000000,2025-2026,2020-2021 - Grades 3-8.csv
