SchoolYear,TestType,ISDName,DistrictName,BuildingName,CountyName,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,GradClass,SourceFile
2023-2024,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,5,ELA,All Students,9,15,19,43,24,62,86,10.5,17.4,22.1,50.0,27.90,72.10,1486.2000000000000000,22.9000000000000000,2030-2031,2023-2024 - Grades 3-8.csv
2022-2023,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,4,ELA,All Students,7,10,24,51,17,75,92,7.6,10.9,26.1,55.4,18.50,81.50,1380.8000000000000000,22.3000000000000000,2030-2031,2022-2023 - Grades 3-8.csv
2021-2022,M-STEP,Oakland Schools,Crescent Academy,All Buildings,Oakland,3,ELA,All Students,5,10,20,50,15,70,85,5.9,11.8,23.5,58.8,17.60,82.40,1277.9000000000000000,21.5000000000000000,2030-2031,2021-2022 - Grades 3-8.csv
